domain,backlinks,creation_date,first_seen,DA,PA,TF,CF,external_link,spam_rating,referring_domains,add_date,end_date,status,tld_registered,crawl_results,global_rank,length,com_tld,net_tld,org_tld,biz_tld,info_tld,de_tld,root_ip
AsDoutLet.shop,2,2023,2024,1,8,0,7,2,0 / 18,2,2024-12-21,Today 15:07,available,-,14,0,9,-,available,available,available,available,available,N/A
asn3b5.shop,1,2023,-,1,8,0,0,1,0 / 18,1,2024-12-21,Today 15:07,available,-,0,0,6,-,available,available,available,available,available,N/A
zyrvex.shop,2,2023,2023,1,10,0,7,3,0 / 18,3,2024-12-21,Today 15:07,available,-,11,0,6,-,registered,available,available,available,available,N/A
SoleModeCouture.shop,3,2023,2024,1,11,0,7,3,0 / 18,3,2024-12-21,Today 15:07,available,-,4,0,15,-,available,available,available,available,available,N/A
TrendyThreadsOnline.shop,1,2023,2024,1,5,0,0,1,0 / 18,1,2024-12-21,Today 15:07,available,-,5,0,19,-,registered,available,available,available,available,N/A
ChinaReplacement.shop,1,2022,-,1,10,0,5,1,0 / 18,1,2024-12-21,Today 15:07,available,-,0,0,16,-,registered,registered,available,available,available,N/A
cvdlabdiamond.shop,4,2023,2024,1,12,0,5,5,10 / 18,5,2024-12-21,Today 15:07,available,-,7,0,13,-,available,available,available,available,available,N/A
RaverBody.co.uk,1,2021,2021,1,5,0,5,1,0 / 18,1,2024-12-21,Today 15:07,available,-,4,0,9,-,available,available,available,available,available,N/A
heeadvancingpracticeconference...co.uk,7,2021,2021,,,,,,/ 18,,2024-12-21,Today 15:07,available,-,13,0,30,-,available,available,available,available,available,
The-Birch.co.uk,5,2019,2021,6,12,0,12,4,0 / 18,3,2024-12-21,Today 15:07,available,-,25,0,9,-,registered,available,available,available,available,13.248.213.45
ebaa.shop,1,2022,2024,1,8,0,5,3,0 / 18,3,2024-12-21,Today 15:07,available,-,2,0,4,-,registered,registered,registered,available,available,N/A
tmtltd.uk,1,2021,2021,1,8,0,5,1,0 / 18,1,2024-12-21,Today 15:06,available,-,1,0,6,-,registered,registered,available,available,available,N/A
2hrmy3.shop,3,2023,-,1,12,0,8,3,0 / 18,3,2024-12-21,Today 15:05,available,-,0,0,6,-,available,available,available,available,available,N/A
js2jsa.shop,2,2023,-,1,10,0,7,2,0 / 18,2,2024-12-21,Today 15:05,available,-,0,0,6,-,available,available,available,available,available,N/A
4pfs1f.shop,6,2023,2024,1,15,0,5,6,0 / 18,5,2024-12-21,Today 15:05,available,-,1,0,6,-,available,available,available,available,available,N/A
NeosBeautyGroup.shop,4,2023,-,1,10,0,7,5,0 / 18,5,2024-12-21,Today 15:05,available,-,0,0,15,-,registered,available,available,available,available,N/A
TechRush.shop,2,2022,2024,3,8,0,7,3,0 / 18,3,2024-12-21,Today 15:05,available,-,2,0,8,-,registered,registered,registered,available,registered,N/A
AngelAi.shop,2,2022,2023,1,6,0,5,1,0 / 18,1,2024-12-21,Today 15:05,available,-,3,0,7,-,registered,registered,registered,registered,registered,N/A
kyouzushiec.shop,5,2023,2021,1,13,0,7,5,7 / 18,3,2024-12-21,Today 15:05,available,-,6,0,11,-,available,available,available,available,available,N/A
gartmorndamwalkersaccommodatio...co.uk,1,2018,2021,,,,,,/ 18,,2024-12-21,Today 15:05,available,-,3,0,32,-,available,available,available,available,available,
Cutscene.co.uk,6,2022,2001,2,7,13,9,6,0 / 18,4,2024-12-21,Today 15:05,available,-,54,0,8,-,registered,registered,registered,available,available,13.248.252.114
TheYogaHall.org.uk,1,2010,2018,1,5,0,5,1,7 / 18,1,2024-12-21,Today 15:05,available,-,2,0,11,-,registered,registered,available,available,registered,N/A
wearezyp.co.uk,1,2020,2021,1,8,0,5,1,0 / 18,1,2024-12-21,Today 15:05,available,-,1,0,8,-,available,available,available,available,available,N/A
jsf7f1.shop,1,2023,-,1,8,0,5,2,0 / 18,2,2024-12-21,Today 15:05,available,-,0,0,6,-,available,available,available,available,available,N/A
HeavenlyHomeFinds.shop,8,2023,2024,1,8,0,9,7,0 / 18,4,2024-12-21,Today 15:05,available,-,2,0,17,-,available,available,available,available,available,N/A
pr6z0m.shop,2,2023,-,1,11,0,0,3,0 / 18,3,2024-12-21,Today 15:04,available,-,0,0,6,-,available,available,available,available,available,N/A
mystikorner.shop,5,2023,2024,1,10,0,9,5,0 / 18,5,2024-12-21,Today 15:04,available,-,4,0,11,-,available,available,available,available,available,N/A
TreasureCartShop.shop,3,2023,2024,1,11,0,8,4,0 / 18,4,2024-12-21,Today 15:04,available,-,11,0,16,-,available,available,available,available,available,N/A
Matchboard.shop,2,2023,2023,1,10,0,0,2,0 / 18,2,2024-12-21,Today 15:04,available,-,6,0,10,-,registered,registered,registered,registered,registered,199.59.243.227
aumonerie-montfort.fr,1,2022,2023,1,10,0,5,1,10 / 18,1,2024-12-21,Today 15:04,available,-,8,0,18,-,available,available,available,available,available,N/A
pizza-stpierre.fr,9,2023,2015,9,21,4,11,9,9 / 18,7,2024-12-21,Today 15:04,available,-,49,0,14,-,available,available,available,available,available,213.186.33.5
ik02t7.shop,1,2023,-,1,1,0,0,1,0 / 18,1,2024-12-21,Today 15:04,available,-,0,0,6,-,available,available,available,available,available,N/A
megaeletro.shop,2,2023,2024,1,5,0,0,2,0 / 18,2,2024-12-21,Today 15:04,available,-,10,0,10,-,registered,available,available,available,available,N/A
ChicGalore.shop,3,2023,2024,1,11,0,8,4,9 / 18,4,2024-12-21,Today 15:04,available,-,6,0,10,-,registered,available,available,available,available,N/A
kafkaanetwork.shop,7,2023,2024,1,8,0,8,7,0 / 18,4,2024-12-21,Today 15:04,available,-,5,0,13,-,available,available,available,available,available,199.59.243.227
lgyizhe.shop,4,2023,2024,1,10,0,8,4,0 / 18,3,2024-12-21,Today 15:04,available,-,2,0,7,-,available,available,available,available,available,N/A
LushRush.shop,5,2023,2024,1,8,0,10,5,0 / 18,5,2024-12-21,Today 15:04,available,-,2,0,8,-,registered,available,available,available,available,N/A
gsiptv.shop,1,2023,2024,1,8,0,0,1,0 / 18,1,2024-12-21,Today 15:04,available,-,2,0,6,-,registered,available,available,available,available,76.223.67.189
WebsTobe.shop,1,2023,2018,1,10,0,5,2,0 / 18,2,2024-12-21,Today 15:04,available,-,4,0,8,-,registered,registered,available,registered,registered,N/A
ciss5w.shop,1,2023,-,1,5,0,5,2,0 / 18,2,2024-12-21,Today 15:04,available,-,0,0,6,-,available,available,available,available,available,N/A
LinguisticsHub.org,1,2021,2021,1,13,0,5,1,0 / 18,1,2024-12-21,Today 15:03,available,-,14,0,14,-,registered,available,registered,available,available,N/A
TheKnoxvilleCommunityDarkroom.org,1.6 K,2016,2017,21,23,6,12,"1,509",0 / 18,28,2024-12-21,Today 15:03,available,-,75,0,29,-,available,available,registered,available,available,76.223.67.189
cryptoads.org,2,2022,2014,3,10,0,5,2,0 / 18,1,2024-12-21,Today 15:03,available,-,14,0,9,-,registered,registered,registered,registered,available,N/A
acicounseling.org,30,2020,2013,16,26,4,13,31,3 / 18,19,2024-12-21,Today 15:03,available,-,90,0,13,-,available,available,registered,available,available,N/A
GraceWeslaco.org,16,2021,2001,12,20,20,11,18,8 / 18,13,2024-12-21,Today 15:03,available,Yes,294,0,12,-,available,available,registered,available,available,199.59.243.227
WestCalhoun.org,9,2006,2008,17,23,10,11,10,1 / 18,8,2024-12-21,Today 15:03,available,-,115,0,11,-,registered,available,registered,available,available,74.208.236.218
About-Torah.org,73,2023,2000,18,27,20,15,94,5 / 18,53,2024-12-21,Today 15:03,available,Yes,391,0,11,-,available,registered,registered,available,available,N/A
BitcoinPeacePrize.org,3,2021,-,1,5,0,7,4,0 / 18,3,2024-12-21,Today 15:03,available,-,0,0,17,-,available,available,registered,available,available,N/A
foesmm.org,16,2022,2018,3,24,0,12,18,14 / 18,8,2024-12-21,Today 15:03,available,-,9,0,6,-,available,available,registered,available,available,199.59.243.227
xuntian.org,219,2023,2016,1,19,10,9,243,3 / 18,8,2024-12-21,Today 15:03,available,-,26,0,7,-,registered,registered,registered,available,available,N/A
EarthStone.org,4,2023,2011,2,15,0,8,4,11 / 18,3,2024-12-21,Today 15:03,available,-,14,0,10,-,registered,registered,registered,registered,available,23.21.106.199
AmericanIdol.org,3,2022,2002,4,16,0,7,3,0 / 18,3,2024-12-21,Today 15:03,available,-,81,0,12,-,registered,registered,registered,available,available,N/A
DogsOfPortugal.org,2,2022,2013,1,8,0,5,2,0 / 18,1,2024-12-21,Today 15:03,available,-,2,0,14,-,registered,available,available,available,available,N/A
TransMan.org,9,2018,2001,8,11,0,9,9,10 / 18,4,2024-12-21,Today 15:03,available,-,74,0,8,-,registered,registered,registered,available,available,N/A
PremierLeagueFootball.org,1,2022,2010,5,15,0,5,1,1 / 18,1,2024-12-21,Today 15:03,available,-,40,0,21,-,registered,registered,registered,available,available,N/A
ArtSinMind.org,101,2021,2010,15,23,1,13,114,2 / 18,41,2024-12-21,Today 15:03,available,-,110,0,10,-,registered,available,registered,available,available,76.223.67.189
pedikur.org,2,2023,2007,1,8,0,7,2,0 / 18,2,2024-12-21,Today 15:03,available,-,19,0,7,-,registered,registered,registered,available,available,N/A
CandyBuffet.org,2,2015,2011,1,8,0,7,2,0 / 18,2,2024-12-21,Today 15:03,available,-,30,0,11,-,registered,registered,registered,available,available,N/A
homeq.org,2,2023,2021,1,5,0,7,3,0 / 18,2,2024-12-21,Today 15:03,available,-,2,0,5,-,registered,registered,registered,available,registered,N/A
TheAmericanLine.org,61,2023,2009,15,21,4,12,62,11 / 18,12,2024-12-21,Today 15:03,available,-,98,0,15,-,registered,available,registered,available,available,199.59.243.227
AutismMadison.org,12,2013,2006,16,25,7,11,14,0 / 18,7,2024-12-21,Today 15:03,available,-,128,0,13,-,available,available,registered,available,available,N/A
WebTickets.org,6,2022,2001,8,18,0,0,6,0 / 18,1,2024-12-21,Today 15:03,available,-,91,0,10,-,registered,registered,registered,available,registered,N/A
PromoLab.org,95,2020,2002,16,26,15,13,90,12 / 18,22,2024-12-21,Today 15:03,available,-,209,0,8,-,registered,registered,registered,registered,available,199.59.243.227
OregonVoting.org,18,2022,2001,16,20,22,11,19,1 / 18,10,2024-12-21,Today 15:03,available,Yes,137,0,12,-,available,available,registered,available,available,N/A
e3b.org,16.2 K,2007,2003,44,34,19,24,"15,790",11 / 18,417,2024-12-21,Today 15:03,available,-,253,697.1 K,3,-,registered,registered,registered,registered,available,15.197.240.20
ConsciousnessProject.org,393,2023,2005,27,32,6,16,394,11 / 18,56,2024-12-21,Today 15:03,available,-,214,0,20,-,registered,registered,registered,available,registered,N/A
ashnews.org,29,2023,2011,18,23,14,11,27,9 / 18,13,2024-12-21,Today 15:03,available,-,22,0,7,-,registered,available,registered,available,registered,52.176.6.0
AllSystems.org,230,2020,2000,22,24,11,14,228,16 / 18,19,2024-12-21,Today 15:03,available,-,260,0,10,-,registered,registered,available,registered,available,199.59.243.227
opld.org,2,2023,2024,1,9,0,7,2,15 / 18,2,2024-12-21,Today 15:03,available,-,6,0,4,-,registered,registered,available,available,available,199.59.243.227
AgriCultOres.org,31,1999,2002,8,17,0,7,31,0 / 18,21,2024-12-21,Today 15:03,available,-,29,0,12,-,registered,registered,registered,available,available,66.81.203.134
MicroApp.org,4,2022,2003,1,14,0,9,4,4 / 18,4,2024-12-21,Today 15:03,available,-,22,0,8,-,registered,registered,registered,available,registered,N/A
bunceisland3d.org,144,2008,2011,8,35,5,17,223,5 / 18,118,2024-12-21,Today 15:03,available,-,63,0,13,-,available,available,registered,available,available,N/A
mbhealthoh.org,29,2020,2013,17,18,5,11,29,6 / 18,13,2024-12-21,Today 15:03,available,-,23,0,10,-,available,available,registered,available,available,198.49.23.145
StrongerBones.org,8,2015,2003,11,10,1,7,9,13 / 18,7,2024-12-21,Today 15:03,available,-,63,0,13,-,registered,registered,registered,available,available,N/A
CasinoDomain.org,4,2023,2011,1,21,0,9,4,0 / 18,3,2024-12-21,Today 15:03,available,-,11,0,12,-,registered,available,registered,available,available,66.81.203.8
MediaLibre.org,132,2009,1999,15,25,18,15,148,3 / 18,35,2024-12-21,Today 15:03,available,-,305,0,10,-,registered,registered,registered,available,registered,N/A
ToWar.org,62,2023,2001,13,19,4,12,21,4 / 18,9,2024-12-21,Today 15:03,available,-,143,0,5,-,registered,registered,registered,available,available,N/A
europrojekt.org,2,2023,2007,2,12,0,5,2,0 / 18,1,2024-12-21,Today 15:03,available,-,12,0,11,-,registered,available,registered,available,registered,N/A
ridnavira.org,29,2022,2008,17,21,4,12,29,9 / 18,11,2024-12-21,Today 15:03,available,-,145,0,9,-,registered,available,registered,available,available,5.39.10.93
timanfaya.org,48,2002,2004,12,19,4,10,88,6 / 18,6,2024-12-21,Today 15:03,available,-,112,0,9,-,registered,available,registered,available,available,160.153.133.150
pnaior.org,4,2022,2003,7,17,4,9,5,13 / 18,3,2024-12-21,Today 15:03,available,-,163,0,6,-,registered,available,registered,available,available,199.59.243.227
palestineblogs.org,827,2021,2005,22,36,16,17,937,2 / 18,86,2024-12-21,Today 15:03,available,-,334,0,14,-,registered,registered,registered,available,available,199.59.243.227
